Roll_No,Name,Result
1,Simran Gupta,40.0
2,Rahul Patel,100.0
3,Simran Patel,68.0
4,Akash Verma,76.0
5,Krishna Singh,90.0
6,Krishna Yadav,58.0
7,Rahul Yadav,76.0
8,Kunal Singh,42.0
9,Sartak Patel,97.0
10,Priya Yadav,67.0
11,Ritika Singh,93.0
12,Anjali Sharma,
13,Sartak Singh,86.0
14,Vivek Sharma,60.0
15,Kunal Singh,85.0
16,Harsh Gupta,63.0
17,Krishna Yadav,78.0
18,Anjali Yadav,56.0
19,Meena Verma,78.0
20,Raj Yadav,
21,Rahul Gupta,66.0
22,Kunal Singh,83.0
23,Simran Verma,61.0
24,Sahil Gupta,91.0
25,Shichan Singh,82.0
26,Aman Verma,54.0
27,Nobita Patel,87.0
28,Sahil Singh,65.0
29,Nobita Verma,92.0
30,Karan Singh,43.0
31,Ankit Gupta,99.0
32,Rohit Sharma,83.0
33,Kunal Gupta,50.0
34,Lalit Patel,67.0
35,Ankit Patel,55.0
36,Rahul Singh,90.0
37,Krishna Patel,42.0
38,Rahul Singh,58.0
39,Ritika Patel,81.0
40,Anjali Patel,89.0
41,Prince Patel,63.0
42,Kavita Singh,51.0
43,Prince Singh,55.0
44,Akash Yadav,70.0
45,Kunal Yadav,100.0
46,Meena Yadav,63.0
47,Ritika Verma,45.0
48,Kunal Gupta,87.0
49,Raj Yadav,62.0
50,Priya Verma,99.0
51,Kavita Singh,60.0
52,Ankit Sharma,71.0
53,Kunal Singh,
54,Kavita Singh,79.0
55,Prince Singh,57.0
56,Simran Singh,
57,Harsh Sharma,79.0
58,Kunal Verma,70.0
59,Aman Singh,87.0
60,Vivek Sharma,93.0
61,Simran Verma,66.0
62,Karan Verma,
63,Sartak Singh,56.0
64,Ankit Yadav,40.0
65,Sneha Patel,72.0
66,Meena Verma,84.0
67,Sneha Verma,51.0
68,Meena Verma,61.0
69,Rohit Singh,82.0
70,Sartak Verma,69.0
71,Lalit Gupta,
72,Raj Gupta,55.0
73,Nobita Sharma,51.0
74,Meena Patel,100.0
75,Meena Gupta,84.0
76,Priya Verma,96.0
77,Karan Yadav,93.0
78,Sahil Patel,67.0
79,Vivek Sharma,65.0
80,Nobita Patel,82.0
81,Kunal Sharma,42.0
82,Sahil Singh,52.0
83,Shichan Verma,
84,Aman Sharma,63.0
85,Simran Singh,100.0
86,Rahul Verma,45.0
87,Nobita Patel,59.0
88,Ankit Patel,98.0
89,Sahil Verma,85.0
90,Akash Yadav,42.0
91,Karan Sharma,80.0
92,Akash Singh,72.0
93,Ankit Sharma,47.0
94,Ankit Patel,60.0
95,Kavita Gupta,90.0
96,Nobita Singh,67.0
97,Kunal Sharma,95.0
98,Aditya Singh,60.0
99,Aditya Verma,65.0
100,Aditya Gupta,82.0
101,Ritika Verma,71.0
102,Krishna Gupta,94.0
103,Aman Yadav,74.0
104,Rohit Singh,42.0
105,Rahul Gupta,71.0
106,Ankit Verma,52.0
107,Simran Singh,94.0
108,Rohit Gupta,97.0
109,Akash Verma,
110,Raj Sharma,89.0
111,Raj Singh,65.0
112,Shichan Sharma,66.0
113,Ankit Verma,94.0
114,Sartak Patel,90.0
115,Karan Gupta,90.0
116,Rohit Sharma,41.0
117,Lalit Sharma,94.0
118,Sartak Yadav,84.0
119,Krishna Singh,84.0
120,Prince Singh,67.0
121,Lalit Gupta,84.0
122,Meena Yadav,65.0
123,Raj Sharma,81.0
124,Karan Gupta,60.0
125,Rohit Yadav,78.0
126,Aman Gupta,81.0
127,Aditya Patel,59.0
128,Sneha Yadav,49.0
129,Nobita Singh,63.0
130,Karan Yadav,77.0
131,Anjali Verma,74.0
132,Raj Yadav,
133,Vivek Sharma,68.0
134,Kavita Yadav,84.0
135,Aditya Verma,58.0
136,Shichan Sharma,93.0
137,Rahul Singh,49.0
138,Aditya Sharma,66.0
139,Lalit Sharma,41.0
140,Sahil Verma,67.0
141,Rahul Yadav,79.0
142,Ankit Sharma,48.0
143,Raj Verma,51.0
144,Sartak Singh,70.0
145,Rahul Patel,50.0
146,Simran Verma,82.0
147,Kunal Sharma,72.0
148,Akash Singh,64.0
149,Anjali Singh,94.0
150,Krishna Patel,49.0
151,Nobita Singh,100.0
152,Aman Gupta,
153,Rohit Singh,52.0
154,Lalit Sharma,87.0
155,Nobita Verma,43.0
156,Rahul Singh,53.0
157,Vivek Gupta,70.0
158,Sneha Singh,91.0
159,Simran Verma,71.0
160,Anjali Singh,70.0
161,Aditya Singh,65.0
162,Nobita Patel,40.0
163,Simran Verma,
164,Meena Sharma,
165,Rahul Singh,79.0
166,Harsh Singh,73.0
167,Meena Yadav,73.0
168,Sartak Sharma,52.0
169,Ritika Patel,66.0
170,Sneha Patel,96.0
171,Priya Yadav,58.0
172,Priya Verma,68.0
173,Sartak Singh,57.0
174,Raj Sharma,79.0
175,Aman Singh,46.0
176,Shichan Sharma,86.0
177,Kunal Sharma,54.0
178,Karan Gupta,
179,Shichan Patel,50.0
180,Rahul Yadav,61.0
181,Karan Singh,52.0
182,Nobita Verma,90.0
183,Simran Gupta,
184,Aditya Sharma,47.0
185,Rohit Patel,61.0
