Roll_No,Name,Result,Attendance,Assignment_Score,Project_Marks
1,Ritika Sharma,57.0,55.58,20,12
2,Lalit Patel,,67.62,8,5
3,Ankit Patel,63.0,55.58,2,4
4,Rahul Singh,47.0,74.02,19,15
5,Raj Gupta,98.0,71.85,8,26
6,Raj Yadav,43.0,94.14,8,22
7,Lalit Yadav,66.0,70.31,2,15
8,Lalit Patel,80.0,82.82,10,6
9,Sartak Singh,43.0,65.06,18,12
10,Aman Yadav,98.0,55.58,12,3
11,Sartak Verma,78.0,95.26,10,24
12,Harsh Singh,69.0,77.86,2,11
13,Sartak Sharma,100.0,70.01,1,27
14,Lalit Singh,54.0,69.05,10,21
15,Karan Gupta,61.0,73.61,9,18
16,Sartak Gupta,96.0,68.15,11,24
17,Harsh Verma,59.0,69.49,6,23
18,Sartak Verma,61.0,51.97,19,20
19,Nobita Singh,93.0,79.19,5,25
20,Kunal Verma,,54.22,18,5
21,Karan Gupta,46.0,50.19,11,7
22,Rohit Patel,96.0,78.91,9,13
23,Kavita Patel,61.0,94.86,16,14
24,Sahil Gupta,57.0,83.33,0,30
25,Nobita Singh,94.0,77.44,17,14
26,Anjali Yadav,89.0,91.09,7,14
27,Krishna Gupta,86.0,73.34,6,23
28,Lalit Singh,71.0,82.62,4,7
29,Rahul Yadav,80.0,51.18,18,2
30,Harsh Yadav,64.0,98.42,16,27
31,Shichan Patel,79.0,70.77,8,16
32,Lalit Gupta,,57.18,1,27
33,Kavita Gupta,79.0,63.59,17,26
34,Shichan Patel,,65.97,6,2
35,Sartak Patel,92.0,73.98,8,23
36,Aditya Verma,86.0,64.61,5,11
37,Aditya Gupta,,87.44,15,20
38,Aditya Singh,81.0,94.55,6,20
39,Rahul Sharma,82.0,79.91,18,14
40,Sahil Gupta,70.0,64.89,19,10
41,Harsh Gupta,91.0,93.47,12,14
42,Lalit Yadav,79.0,77.6,15,3
43,Lalit Gupta,54.0,86.21,16,24
44,Prince Verma,59.0,58.53,19,6
45,Sneha Sharma,88.0,71.7,10,25
46,Shichan Yadav,,78.38,7,3
47,Nobita Singh,64.0,74.53,1,5
48,Kavita Verma,81.0,73.52,17,16
49,Priya Sharma,86.0,86.08,16,21
50,Shichan Verma,45.0,80.29,6,24
51,Prince Verma,43.0,50.71,20,0
52,Kavita Singh,43.0,91.54,13,25
53,Aman Verma,64.0,99.04,19,24
54,Vivek Verma,75.0,89.01,1,17
55,Rahul Sharma,47.0,81.47,11,30
56,Rohit Singh,79.0,64.39,2,27
57,Aditya Yadav,100.0,90.12,15,16
58,Karan Yadav,82.0,59.6,0,26
59,Ankit Yadav,82.0,73.53,2,24
60,Krishna Patel,70.0,80.36,17,8
61,Priya Yadav,58.0,82.84,1,7
62,Krishna Sharma,93.0,91.56,13,10
63,Kavita Sharma,59.0,71.77,7,15
